codigo_original;codigo_pai;insumo;quant_utilizada;ult_compra_custo_utilizado
APP2205;APP2205;EAX1001;1;0,11
APP2205;APP2205;ERX0248;0,125;0,010175
APP2205;APP2205;MEX2021;4;1,172028
APP2205;APP2205;MEX6161;0,05;0,0214445
APP2205;MPBSD0000000666;MEX6185;0,35;0,2158002
APP2205;MPBSD0000000665;MEX6187;0,35;0,2158002
APP2205;APP2205;MILPK0000000138;1;0,03267
APP2205;APP2205;MILPK0000000197;0,1075;0,01217975
APP2205;APP2205;MILRR0000000009;0,00688;0,003170387
APP2205;APP2205;MMX6059;4;0,181896
APP2205;APP2205;MMX8005;1;0,159478
APP2205;APP2205;MPADC0000000374;1;2,598442
APP2205;APP2205;MPAKK0000004865;1;1,265
APP2205;APP2205;MPAKL0000007142;1;0,0264
APP2205;APP2205;MPAKM0000004184;1;0,1331
APP2205;APP2205;MPAKX0000000064;0,125;0,3355
APP2205;MQX2097;MPAMM0000000441;0,00608;0,10818977
APP2205;APP2205;MPAMT0000000126;2;3,211714
APP2205;APP2205;MPANK0000000020;0,001628;0,250717999
APP2205;MPBPJ0000000585;MPAPM0000000123;0,001028;0,038909245
APP2205;MPBPJ0000000586;MPAPR0000000146;0,101129;1,907202328
APP2205;APP2205;MQX0074;0,000011;0,010186143
APP2205;APP2205;MQX1709;0,000193;0,051024182
APP2205;APP2205;MQX1747;0,000011;0,004209469
APP2205;APP2205;MQX2238;0,000005;0,00064229
APP2205;APP2205;MQX2239;0,000028;0,00232232
BECHD0000002428;BECHD0000002428;EAX1032;1;0,27247
BECHD0000002428;BECHD0000002428;ERX0248;0,25;0,02035
BECHD0000002428;BECHD0000002428;ERX1049;1;0,02596
BECHD0000002428;MPBSD0000000871;MEX0069;2;0,032978
BECHD0000002428;MPAHD0000000183;MEX1016;1;2,576398
BECHD0000002428;MPBSD0000000898;MEX1808;0,00092;0,08972392
BECHD0000002428;MPAHD0000000183;MEX6417;1;0,358116
BECHD0000002428;BECHD0000002428;MILPK0000000138;1;0,03267
BECHD0000002428;BECHD0000002428;MILPK0000000151;1;0,3795
BECHD0000002428;BECHD0000002428;MILPK0000000197;0,28;0,031724
BECHD0000002428;BECHD0000002428;MILPK0000000198;1;0,047509
BECHD0000002428;BECHD0000002428;MILRR0000000009;0,0135;0,006220962
BECHD0000002428;MPAHD0000000183;MMX1998;0,014;0,515726288
BECHD0000002428;MMX0020;MMX6068;0,01453;0,238538443
BECHD0000002428;BECHD0000002428;MPAAP0000000079;1;0,467555
BECHD0000002428;MPAHD0000000183;MPAAP0000000150;1;0,441122
BECHD0000002428;MPAHD0000000183;MPAAP0000000151;1;0,441122
BECHD0000002428;BECHD0000002428;MPADC0000000246;1;7,606159
BECHD0000002428;MPBSD0000000871;MPADR0000000068;1;0,193985
BECHD0000002428;MPBSD0000000871;MPADR0000000070;1;0,195338
BECHD0000002428;MPBSD0000000871;MPADR0000000071;1;0,198077
BECHD0000002428;MPBSD0000000871;MPADR0000000072;3;0,561462
BECHD0000002428;MPBSD0000000871;MPADR0000000073;3;0,54021
BECHD0000002428;MPBSD0000000886;MPADR0000000076;1;0,209
BECHD0000002428;MPBSD0000000881;MPADR0000000083;1;0,342881
BECHD0000002428;MPBSD0000000882;MPADR0000000091;1;0,305987
BECHD0000002428;MPBSD0000000887;MPADR0000000094;1;0,207647
BECHD0000002428;MPBSD0000000886;MPADR0000000095;1;0,300531
BECHD0000002428;MPBSD0000000882;MPADR0000000096;1;0,225401
BECHD0000002428;MPBSD0000000881;MPADR0000000097;1;0,221309
BECHD0000002428;MPAHD0000000183;MPADR0000000101;1;0,382492
BECHD0000002428;MPBSD0000000871;MPADR0000000102;1;0,178827
BECHD0000002428;MPBSD0000000887;MPADW0000000120;1;0,327855
BECHD0000002428;MPBSD0000000871;MPAEA0000000431;1;5,61
BECHD0000002428;MPBSD0000000871;MPAEC0000000024;2;0,113256
BECHD0000002428;MPBSD0000000871;MPAEC0000000061;1;0,336611
BECHD0000002428;MPBSD0000000871;MPAEC0000000094;1;0,109714
BECHD0000002428;MPBSD0000000871;MPAED0000000006;2;0,076736
BECHD0000002428;MPBSD0000000871;MPAED0000000045;2;0,370502
BECHD0000002428;MPBSD0000000871;MPAEM0000000021;1;1,235619
BECHD0000002428;MPBSD0000000871;MPAEP0000000161;1;1,463
BECHD0000002428;MPBSD0000000871;MPAER0000000041;1;0,006974
BECHD0000002428;MPBSD0000000871;MPAER0000000044;1;0,019789
BECHD0000002428;MPBSD0000000871;MPAER0000000127;1;0,044968
BECHD0000002428;MPBSD0000000871;MPAER0000000154;1;0,078463
BECHD0000002428;MPBSD0000000871;MPAER0000000169;1;0,035376
BECHD0000002428;MPBSD0000000871;MPAER0000000320;1;0,019789
BECHD0000002428;MPBSD0000000871;MPAER0000000321;1;0,019789
BECHD0000002428;MPBSD0000000871;MPAER0000000322;2;0,042966
BECHD0000002428;MPBSD0000000871;MPAER0000000323;2;0,039578
BECHD0000002428;MPBSD0000000886;MPAET0000000022;2;1,264406
BECHD0000002428;MPBSD0000000881;MPAET0000000023;2;0,862972
BECHD0000002428;MPBSD0000000881;MPAET0000000026;1;0,38192
BECHD0000002428;MPBSD0000000882;MPAET0000000027;1;0,38192
BECHD0000002428;MPBSD0000000886;MPAET0000000035;1;1,45376
BECHD0000002428;MPBSD0000000887;MPAET0000000036;1;1,45376
BECHD0000002428;MPBSD0000000871;MPAEW0000000122;2;1,91345
BECHD0000002428;MPBSD0000000871;MPAEW0000000126;1;1,27523
BECHD0000002428;BECHD0000002428;MPAKK0000003998;1;2,255
BECHD0000002428;BECHD0000002428;MPAKM0000003672;1;0,264
BECHD0000002428;BECHD0000002428;MPAKX0000000069;0,25;0,82225
BECHD0000002428;MPAHD0000000183;MPALH0000000022;1;0,539
BECHD0000002428;MPBSD0000000893;MPALR0000000015;0,001033;0,033738105
BECHD0000002428;BECHD0000002428;MPAME0000000064;5;0,12276
BECHD0000002428;MEX6101;MPAMM0000000443;0,00568;0,326561967
BECHD0000002428;MEX6095;MPAMM0000000444;0,001318;0,074690535
BECHD0000002428;MPAHD0000000183;MPAMR0000000012;12;0,5808
BECHD0000002428;MMX2049;MPAMS0000000016;0,0017;0,090662986
BECHD0000002428;MPBSD0000000881;MPANS0000000002;0,08;0,03112736
BECHD0000002428;MPAHD0000000183;MPANS0000000020;0,21;0,17393607
BECHD0000002428;MPBPJ0000000703;MPAPM0000000046;0,004249;0,441543333
BECHD0000002428;MPBPJ0000000837;MPAPM0000000050;0,000694;0,12157145
